Symbol,FullName,CSVName,Sector
WM,Waste Management Inc.,Waste Management Inc.,Industrials
WAT,Waters Corporation,Waters Corporation,Health Care
WEC,Wec Energy Group Inc,Wec Energy Group Inc,Utilities
WCG,WellCare,WellCare,Health Care
WFC,Wells Fargo,Wells Fargo,Financials
WELL,Welltower Inc.,Welltower Inc.,Real Estate
WDC,Western Digital,Western Digital,Information Technology
WU,Western Union Co,Western Union Co,Information Technology
WRK,WestRock,WestRock,Materials
WY,Weyerhaeuser,Weyerhaeuser,Real Estate
WHR,Whirlpool Corp.,Whirlpool Corp.,Consumer Discretionary
WMB,Williams Cos.,Williams Cos.,Energy
WLTW,Willis Towers Watson,Willis Towers Watson,Financials
WYNN,Wynn Resorts Ltd,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Xcel Energy Inc,Utilities
XRX,Xerox,Xerox,Information Technology
XLNX,Xilinx,Xilinx,Information Technology
XYL,Xylem Inc.,Xylem Inc.,Industrials
YUM,Yum! Brands Inc,Yum! Brands Inc,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Zions Bancorp,Financials
ZTS,Zoetis,Zoetis,Health Care
